time_of_day,activity,tail_position,ear_direction,food_eaten,mood
6.4,playing,up,forward,0.36,playful
1.5,grooming,tucked,backward,0.72,sleepy
14.8,eating,down,forward,0.21,grumpy
22.2,playing,up,flat,0.55,sleepy
11.1,hiding,tucked,flat,0.39,anxious
2.3,hunting,puffed,rotating,0.37,anxious
14.8,hiding,down,flat,0.15,grumpy
10.6,hiding,down,flat,0.28,anxious
9.8,sleeping,puffed,backward,0.13,grumpy
23.1,sleeping,swishing,forward,0.0,grumpy
8.1,hunting,swishing,forward,0.66,playful
5.3,sleeping,tucked,backward,0.51,sleepy
7.6,hiding,swishing,flat,0.23,grumpy
21.0,sleeping,tucked,backward,0.77,sleepy
1.1,playing,swishing,forward,0.49,playful
22.9,playing,down,flat,0.47,sleepy
16.2,sleeping,puffed,flat,0.19,grumpy
7.2,hunting,swishing,backward,0.38,anxious
15.2,eating,swishing,flat,0.78,happy
3.9,hunting,swishing,rotating,0.18,anxious
4.6,hunting,down,rotating,0.06,grumpy
10.2,playing,up,rotating,0.68,playful
18.3,hunting,tucked,rotating,0.32,anxious
9.0,grooming,up,forward,0.91,happy
19.8,grooming,up,backward,0.63,happy
20.6,sleeping,tucked,backward,0.68,sleepy
3.0,playing,up,flat,0.11,grumpy
22.0,playing,up,forward,0.02,grumpy
17.2,playing,up,rotating,0.36,playful
4.5,grooming,up,forward,0.64,happy
17.1,playing,up,rotating,0.57,playful
8.8,hunting,up,forward,0.65,playful
11.8,hiding,puffed,rotating,0.18,anxious
20.7,playing,puffed,forward,0.69,sleepy
13.3,sleeping,down,forward,0.61,happy
2.3,hunting,swishing,forward,0.52,playful
22.0,playing,swishing,rotating,0.67,playful
1.5,hunting,puffed,flat,0.1,anxious
19.0,sleeping,swishing,backward,0.21,grumpy
0.3,grooming,puffed,flat,0.54,sleepy
18.2,playing,puffed,backward,0.72,sleepy
4.7,hunting,swishing,rotating,0.2,grumpy
12.4,grooming,swishing,backward,0.03,grumpy
6.8,sleeping,up,forward,0.29,grumpy
22.1,eating,swishing,rotating,0.17,grumpy
19.2,playing,puffed,flat,0.2,anxious
6.5,hunting,tucked,rotating,0.27,anxious
7.4,eating,down,rotating,0.44,sleepy
1.7,grooming,up,forward,0.21,grumpy
18.3,eating,up,forward,0.68,happy
15.4,hiding,puffed,rotating,0.18,grumpy
12.8,hunting,puffed,rotating,0.25,anxious
6.6,playing,swishing,flat,0.61,happy
10.1,sleeping,puffed,flat,0.85,happy
17.3,eating,up,forward,0.74,happy
18.2,hunting,tucked,flat,0.39,anxious
7.7,sleeping,down,backward,0.78,sleepy
1.5,hiding,puffed,forward,0.62,happy
22.5,eating,tucked,backward,0.38,anxious
1.5,grooming,up,forward,0.72,happy
0.3,hunting,tucked,flat,0.19,anxious
14.5,grooming,up,forward,0.92,happy
5.4,hunting,tucked,flat,0.25,anxious
5.8,sleeping,down,backward,0.41,sleepy
7.0,playing,up,rotating,0.65,playful
2.5,grooming,swishing,rotating,0.46,sleepy
18.6,hunting,puffed,rotating,0.28,anxious
7.9,eating,tucked,forward,0.01,grumpy
16.3,hiding,down,flat,0.14,grumpy
14.3,hunting,up,backward,0.83,happy
3.2,playing,tucked,flat,0.86,happy
3.9,hiding,down,backward,0.26,grumpy
10.9,grooming,down,backward,0.27,grumpy
13.4,hiding,up,rotating,0.28,grumpy
10.5,playing,swishing,rotating,0.68,playful
0.7,playing,down,flat,0.99,happy
16.6,grooming,down,backward,0.03,grumpy
21.8,grooming,tucked,rotating,0.51,playful
6.0,grooming,up,forward,0.81,happy
12.3,grooming,swishing,flat,0.45,sleepy
18.9,sleeping,swishing,forward,0.55,playful
15.8,hiding,tucked,rotating,0.2,anxious
21.1,eating,down,flat,0.63,happy
23.6,hunting,puffed,rotating,0.27,anxious
7.7,playing,up,flat,0.43,playful
1.0,playing,up,forward,0.38,playful
18.2,sleeping,down,backward,0.67,sleepy
0.0,hiding,puffed,forward,0.17,grumpy
21.7,sleeping,puffed,flat,0.38,anxious
0.2,sleeping,swishing,backward,0.34,anxious
7.2,hunting,swishing,forward,0.55,playful
13.3,hunting,puffed,rotating,0.23,anxious
21.8,playing,swishing,rotating,0.63,playful
20.1,playing,swishing,forward,0.58,playful
17.9,hunting,swishing,forward,0.57,playful
20.5,grooming,tucked,backward,0.1,anxious
18.2,playing,up,rotating,0.59,playful
13.7,sleeping,tucked,backward,0.57,sleepy
11.9,hiding,down,flat,0.17,grumpy
17.0,hunting,up,forward,0.68,playful
18.1,grooming,up,forward,0.97,happy
12.5,grooming,up,flat,0.71,sleepy
10.4,hiding,tucked,backward,0.25,anxious
1.2,sleeping,down,rotating,0.25,anxious
19.1,sleeping,down,backward,0.68,sleepy
21.3,hunting,tucked,rotating,0.72,happy
7.9,grooming,up,forward,0.69,happy
2.7,sleeping,down,backward,0.8,sleepy
12.5,grooming,down,flat,0.1,grumpy
14.9,hiding,down,backward,0.28,grumpy
4.4,hunting,swishing,rotating,0.66,playful
20.1,grooming,down,flat,0.14,grumpy
10.7,hiding,down,backward,0.09,grumpy
17.9,hiding,swishing,flat,0.08,grumpy
9.6,eating,up,forward,0.92,happy
11.6,hunting,swishing,rotating,0.46,playful
19.3,hunting,tucked,rotating,0.2,anxious
21.2,sleeping,tucked,rotating,0.65,playful
12.0,grooming,down,backward,0.04,grumpy
5.9,sleeping,tucked,backward,0.46,sleepy
14.8,playing,down,backward,0.73,happy
3.8,hunting,puffed,rotating,0.21,anxious
10.8,playing,puffed,flat,0.18,anxious
16.1,hiding,puffed,flat,0.37,anxious
14.4,playing,up,forward,0.69,playful
19.7,eating,up,forward,0.62,happy
0.7,playing,puffed,flat,0.41,playful
8.4,hunting,up,forward,0.6,playful
7.1,eating,up,forward,0.94,happy
2.0,hiding,down,flat,0.1,grumpy
5.1,hiding,tucked,flat,0.02,grumpy
5.8,sleeping,tucked,backward,0.67,sleepy
13.8,eating,down,forward,0.11,grumpy
19.0,sleeping,tucked,backward,0.54,sleepy
1.3,hiding,swishing,flat,0.08,grumpy
4.4,playing,up,rotating,0.49,playful
9.2,grooming,down,backward,0.55,playful
18.0,playing,swishing,flat,0.62,sleepy
0.6,eating,up,forward,0.62,happy
16.4,grooming,down,backward,0.17,grumpy
10.5,sleeping,up,flat,0.2,grumpy
18.1,grooming,down,backward,0.3,grumpy
22.4,hunting,puffed,flat,0.34,anxious
10.4,hiding,puffed,rotating,0.36,anxious
17.0,hunting,swishing,rotating,0.4,playful
13.8,grooming,tucked,backward,0.76,sleepy
17.4,grooming,swishing,rotating,0.18,anxious
20.6,grooming,tucked,backward,0.48,sleepy
21.0,hiding,swishing,backward,0.08,grumpy
10.8,grooming,down,rotating,0.25,anxious
6.3,grooming,up,forward,0.74,happy
7.8,sleeping,puffed,forward,0.7,playful
12.3,playing,down,rotating,0.92,happy
23.1,playing,swishing,backward,0.98,happy
16.9,hunting,puffed,flat,0.25,anxious
20.1,hunting,swishing,forward,0.13,anxious
22.3,sleeping,down,backward,0.61,sleepy
5.3,hiding,puffed,backward,0.88,happy
15.7,playing,puffed,forward,0.27,anxious
0.4,hunting,swishing,forward,0.41,playful
3.8,playing,tucked,forward,0.01,grumpy
13.6,hunting,swishing,rotating,0.62,playful
9.4,sleeping,down,backward,0.57,sleepy
20.2,eating,up,forward,0.87,happy
17.4,hiding,down,backward,0.01,grumpy
15.0,playing,up,forward,0.67,playful
7.0,hiding,down,flat,0.14,grumpy
6.8,hunting,swishing,rotating,0.62,playful
14.6,grooming,up,forward,0.86,happy
5.7,hunting,puffed,flat,0.31,anxious
9.4,grooming,tucked,flat,0.21,anxious
16.9,hiding,swishing,backward,0.13,grumpy
8.2,sleeping,tucked,rotating,0.67,sleepy
6.2,grooming,up,forward,0.83,happy
2.7,grooming,swishing,backward,0.06,grumpy
22.9,grooming,puffed,flat,0.0,grumpy
17.1,hunting,tucked,backward,0.67,playful
20.4,hiding,puffed,flat,0.4,anxious
15.9,eating,up,forward,0.66,happy
7.5,grooming,down,flat,0.19,grumpy
3.4,grooming,down,backward,0.48,sleepy
16.0,hunting,tucked,rotating,0.21,anxious
19.7,grooming,up,forward,0.82,happy
9.3,grooming,up,forward,0.95,happy
15.9,eating,tucked,flat,0.52,playful
22.2,eating,puffed,rotating,0.2,anxious
19.9,eating,up,forward,0.81,happy
14.1,eating,up,forward,0.81,happy
8.2,grooming,swishing,backward,0.08,grumpy
4.5,grooming,down,backward,0.02,grumpy
5.0,sleeping,tucked,backward,0.75,sleepy
23.0,hiding,puffed,rotating,0.77,happy
23.7,grooming,down,backward,0.18,grumpy
7.6,grooming,up,forward,0.76,happy
2.2,sleeping,swishing,rotating,0.74,happy
22.9,grooming,swishing,backward,0.04,grumpy
4.9,hiding,tucked,flat,0.33,playful
2.1,grooming,up,flat,0.86,happy
1.7,playing,swishing,forward,0.45,playful
23.5,sleeping,tucked,forward,0.3,grumpy
5.7,grooming,down,backward,0.53,sleepy
4.3,sleeping,puffed,backward,0.1,grumpy
12.9,hunting,puffed,rotating,0.17,anxious
14.7,playing,swishing,forward,0.36,playful
13.6,playing,up,rotating,0.01,grumpy
17.3,grooming,puffed,backward,0.03,grumpy
19.1,playing,tucked,backward,0.76,sleepy
21.7,grooming,down,flat,0.14,grumpy
3.0,grooming,down,flat,0.16,grumpy
19.7,eating,puffed,rotating,0.75,happy
11.5,sleeping,tucked,backward,0.77,sleepy
17.2,grooming,down,backward,0.75,happy
19.9,hiding,down,backward,0.13,grumpy
19.2,playing,up,forward,0.46,playful
14.1,grooming,tucked,backward,0.46,sleepy
21.8,hiding,down,backward,0.21,grumpy
4.2,sleeping,down,backward,0.57,sleepy
3.7,hunting,tucked,backward,0.27,anxious
7.4,hiding,tucked,flat,0.32,anxious
1.8,grooming,down,backward,0.19,grumpy
4.5,eating,up,flat,0.63,playful
16.5,playing,down,forward,0.29,anxious
7.3,playing,up,rotating,0.52,playful
22.0,hunting,tucked,rotating,0.32,anxious
12.0,hiding,tucked,rotating,0.33,anxious
20.8,sleeping,down,backward,0.64,sleepy
21.3,sleeping,tucked,backward,0.72,sleepy
12.5,sleeping,tucked,backward,0.46,sleepy
15.0,sleeping,tucked,backward,0.69,sleepy
0.5,sleeping,tucked,backward,0.6,sleepy
19.1,grooming,up,forward,0.88,happy
11.4,hiding,puffed,flat,0.21,anxious
10.0,playing,up,flat,0.47,playful
13.9,sleeping,down,backward,0.59,sleepy
5.0,eating,puffed,forward,0.48,playful
9.5,grooming,up,forward,0.94,happy
12.9,hiding,swishing,flat,0.12,grumpy
23.9,grooming,up,forward,0.88,happy
23.7,hunting,swishing,forward,0.64,sleepy
16.8,hunting,swishing,forward,0.35,playful
3.2,hiding,puffed,rotating,0.13,anxious
13.3,hiding,tucked,forward,0.69,sleepy
2.8,grooming,up,forward,0.81,happy
19.3,grooming,swishing,flat,0.06,grumpy
4.6,sleeping,swishing,forward,0.9,happy
8.6,grooming,tucked,flat,0.31,anxious
16.3,hiding,swishing,flat,0.06,grumpy
0.3,playing,puffed,backward,0.37,playful
14.5,eating,up,rotating,0.36,anxious
0.8,hiding,tucked,backward,0.29,grumpy
9.2,hiding,down,flat,0.05,grumpy
18.8,eating,up,forward,0.86,happy
6.3,playing,up,forward,0.59,playful
8.2,playing,up,rotating,0.62,playful
1.7,sleeping,up,backward,0.94,happy
23.0,grooming,tucked,flat,0.41,playful
16.5,sleeping,down,backward,0.73,sleepy
18.2,hunting,tucked,rotating,0.34,anxious
5.1,hunting,up,rotating,0.64,playful
16.8,sleeping,tucked,backward,0.52,sleepy
21.5,hiding,down,forward,0.45,sleepy
14.5,hiding,puffed,rotating,0.4,anxious
19.4,playing,up,forward,0.18,grumpy
12.8,eating,up,forward,0.84,happy
8.4,hunting,up,forward,0.7,playful
22.6,playing,up,backward,0.2,anxious
19.7,playing,swishing,rotating,0.4,playful
20.5,eating,swishing,backward,0.34,anxious
14.8,grooming,tucked,backward,0.62,sleepy
17.8,sleeping,puffed,flat,0.12,anxious
1.6,grooming,down,backward,0.28,grumpy
0.6,sleeping,tucked,backward,0.41,sleepy
3.0,grooming,up,forward,0.65,happy
22.8,sleeping,down,backward,0.69,sleepy
4.4,grooming,tucked,backward,0.73,sleepy
16.6,hunting,swishing,flat,0.66,playful
17.8,grooming,up,forward,0.79,happy
17.9,hunting,tucked,rotating,0.29,grumpy
10.4,eating,tucked,rotating,0.14,anxious
14.2,hiding,up,backward,0.37,playful
0.6,eating,swishing,flat,0.66,playful
11.3,grooming,up,forward,0.69,happy
17.3,grooming,down,flat,0.05,grumpy
15.7,grooming,swishing,backward,0.16,grumpy
3.8,hunting,tucked,rotating,0.33,anxious
0.5,grooming,up,forward,0.9,happy
9.0,hunting,tucked,rotating,0.38,anxious
17.8,hunting,up,forward,0.32,playful
0.3,grooming,down,rotating,0.16,grumpy
14.7,hunting,tucked,backward,0.15,anxious
3.3,eating,tucked,backward,0.06,grumpy
20.0,playing,up,rotating,0.27,grumpy
5.7,grooming,down,backward,0.25,grumpy
21.1,eating,down,backward,0.43,playful
9.2,grooming,up,forward,0.78,happy
20.2,eating,up,forward,0.61,happy
8.0,hunting,swishing,rotating,0.51,playful
10.1,hunting,tucked,backward,0.35,anxious
4.2,eating,up,forward,0.99,happy
5.7,grooming,up,backward,0.3,grumpy
11.9,hunting,tucked,flat,0.11,anxious
23.3,hiding,puffed,rotating,0.35,anxious
20.7,grooming,down,flat,0.07,grumpy
12.8,playing,swishing,forward,0.19,anxious
2.6,grooming,up,forward,1.0,happy
20.5,sleeping,down,rotating,0.6,sleepy
11.0,playing,up,rotating,0.55,playful
18.2,eating,down,rotating,0.38,playful
2.9,hunting,tucked,rotating,0.65,playful
18.3,playing,down,flat,0.42,playful
20.4,hunting,up,flat,0.61,playful
5.6,playing,swishing,forward,0.57,playful
11.6,hunting,puffed,rotating,0.3,anxious
3.4,hiding,swishing,backward,0.26,grumpy
11.8,hunting,tucked,flat,0.4,anxious
6.1,grooming,up,forward,0.99,happy
0.0,hiding,swishing,backward,0.2,grumpy
18.5,eating,up,forward,0.9,happy
5.8,hiding,swishing,backward,0.3,grumpy
18.1,hiding,puffed,forward,0.3,anxious
21.0,grooming,tucked,rotating,0.72,happy
19.7,hunting,down,backward,0.38,playful
19.0,hiding,tucked,flat,0.67,sleepy
18.5,grooming,up,forward,0.87,happy
21.2,sleeping,tucked,backward,0.66,sleepy
5.1,sleeping,tucked,backward,0.48,sleepy
9.5,hunting,tucked,flat,0.2,anxious
15.6,eating,up,forward,0.99,happy
5.2,grooming,down,backward,0.74,sleepy
16.2,hiding,tucked,rotating,0.19,anxious
13.2,eating,tucked,backward,0.14,anxious
15.3,playing,up,forward,0.68,playful
7.9,hiding,swishing,flat,0.74,sleepy
7.8,playing,down,backward,0.48,playful
16.6,playing,swishing,forward,0.44,playful
11.4,playing,tucked,forward,0.6,happy
5.2,sleeping,tucked,rotating,0.67,playful
3.0,hiding,tucked,rotating,0.34,anxious
2.6,hiding,puffed,rotating,0.36,anxious
10.9,grooming,down,flat,0.77,sleepy
19.5,eating,up,forward,0.76,happy
7.4,sleeping,tucked,backward,0.46,sleepy
2.7,hiding,down,forward,0.04,grumpy
1.1,hunting,up,rotating,0.38,anxious
8.3,sleeping,tucked,backward,0.8,sleepy
17.5,eating,up,forward,0.94,happy
9.6,eating,tucked,flat,0.94,happy
18.6,grooming,swishing,backward,0.16,grumpy
3.2,hunting,swishing,forward,0.45,playful
8.3,playing,tucked,backward,0.47,sleepy
13.6,hunting,down,flat,0.66,playful
3.6,playing,tucked,flat,0.8,happy
1.7,playing,swishing,forward,0.54,playful
9.8,hiding,tucked,flat,0.28,anxious
5.7,eating,up,forward,0.74,happy
3.1,grooming,tucked,backward,0.42,sleepy
6.9,hunting,tucked,flat,0.33,anxious
20.9,playing,up,flat,0.19,grumpy
11.6,hiding,up,forward,0.45,playful
1.6,playing,swishing,forward,0.7,playful
12.2,playing,swishing,rotating,0.67,playful
5.1,hunting,up,rotating,0.53,playful
10.7,hiding,puffed,flat,0.1,anxious
6.6,hunting,up,backward,0.02,grumpy
14.0,hunting,up,rotating,0.67,playful
18.0,grooming,tucked,backward,0.53,sleepy
6.6,hiding,swishing,backward,0.01,grumpy
11.5,hiding,down,forward,0.48,sleepy
1.1,hunting,puffed,flat,0.16,anxious
14.3,hiding,down,flat,0.12,grumpy
12.2,playing,up,rotating,0.57,playful
12.0,grooming,swishing,backward,0.07,grumpy
16.0,grooming,down,backward,0.51,sleepy
9.9,hunting,tucked,flat,0.15,anxious
16.4,hunting,swishing,forward,0.42,playful
0.3,playing,up,rotating,0.33,playful
6.6,hunting,up,forward,0.57,sleepy
3.3,sleeping,down,backward,0.52,sleepy
17.6,grooming,swishing,rotating,0.68,happy
11.1,hunting,puffed,forward,0.98,happy
21.3,grooming,tucked,backward,0.25,anxious
7.0,hiding,down,flat,0.03,grumpy
5.9,hiding,down,flat,0.13,grumpy
5.3,hunting,swishing,rotating,0.52,playful
14.3,hunting,swishing,forward,0.36,playful
2.6,grooming,swishing,rotating,0.35,anxious
5.4,grooming,up,forward,1.0,happy
11.5,sleeping,tucked,backward,0.68,sleepy
12.0,hiding,tucked,flat,0.24,grumpy
13.7,hiding,up,rotating,0.68,sleepy
5.2,grooming,down,backward,0.67,sleepy
7.8,hiding,tucked,flat,0.38,anxious
22.1,grooming,up,forward,0.87,happy
6.6,eating,up,forward,0.66,happy
11.6,hunting,up,forward,0.39,playful
18.9,hunting,tucked,rotating,0.19,grumpy
17.4,hiding,down,backward,0.11,grumpy
14.3,grooming,down,rotating,0.42,sleepy
18.8,hunting,puffed,rotating,0.28,anxious
5.7,grooming,tucked,backward,0.7,sleepy
5.8,grooming,swishing,flat,0.26,grumpy
11.7,grooming,down,backward,0.05,grumpy
7.6,playing,down,backward,0.75,happy
7.6,grooming,swishing,flat,0.63,happy
5.0,hunting,puffed,flat,0.24,anxious
7.5,playing,swishing,forward,0.39,playful
4.6,playing,down,forward,0.65,sleepy
16.9,hiding,swishing,backward,0.26,grumpy
4.0,grooming,up,forward,0.69,happy
15.9,hunting,up,rotating,0.39,playful
18.6,hunting,tucked,rotating,0.23,anxious
5.6,grooming,up,forward,0.76,happy
7.0,hiding,tucked,rotating,0.16,anxious
22.1,hunting,tucked,flat,0.23,anxious
14.6,hunting,puffed,flat,0.29,anxious
0.2,hiding,tucked,rotating,0.11,anxious
4.8,playing,up,rotating,0.55,playful
5.8,hunting,up,rotating,0.61,playful
24.0,playing,down,flat,0.5,sleepy
5.4,hunting,puffed,rotating,0.29,grumpy
19.6,eating,up,forward,0.65,happy
1.3,sleeping,tucked,flat,0.54,playful
22.1,hunting,up,rotating,0.36,playful
12.1,grooming,down,backward,0.08,grumpy
23.6,eating,down,forward,0.15,grumpy
17.2,eating,tucked,backward,0.44,playful
22.4,eating,tucked,backward,0.62,happy
7.0,hunting,swishing,rotating,0.67,playful
23.9,playing,swishing,rotating,0.45,playful
20.7,hiding,down,flat,0.25,grumpy
19.8,hunting,tucked,rotating,0.28,anxious
12.2,grooming,up,forward,0.72,happy
18.1,eating,up,forward,0.84,happy
14.4,eating,up,forward,0.97,happy
14.9,grooming,up,forward,0.8,happy
1.0,sleeping,tucked,backward,0.82,happy
7.2,playing,up,rotating,0.69,playful
12.0,grooming,down,backward,0.75,sleepy
14.9,playing,up,rotating,0.64,playful
20.0,grooming,swishing,flat,0.1,grumpy
6.6,grooming,down,backward,0.76,sleepy
1.5,grooming,puffed,backward,0.69,happy
7.2,sleeping,tucked,flat,0.14,grumpy
15.6,grooming,tucked,backward,0.57,sleepy
3.0,grooming,up,forward,0.9,happy
1.1,grooming,swishing,rotating,0.25,grumpy
12.1,hiding,up,forward,0.1,anxious
0.1,eating,up,forward,0.75,happy
12.7,hiding,tucked,flat,0.11,anxious
16.4,sleeping,tucked,backward,0.64,sleepy
10.6,hiding,tucked,rotating,0.39,anxious
4.1,hiding,swishing,flat,0.08,grumpy
1.3,sleeping,down,backward,0.41,sleepy
10.8,eating,up,forward,0.63,happy
10.8,sleeping,puffed,rotating,0.76,happy
2.9,grooming,down,backward,0.52,sleepy
11.5,playing,swishing,forward,0.34,playful
5.7,eating,up,forward,0.16,anxious
17.1,grooming,down,backward,0.56,sleepy
13.6,hunting,up,forward,0.48,playful
11.1,hiding,down,forward,0.7,happy
19.7,hiding,down,backward,0.03,grumpy
18.0,grooming,swishing,backward,0.24,grumpy
4.7,grooming,down,backward,0.13,grumpy
8.8,playing,swishing,forward,0.65,playful
11.8,hunting,down,rotating,0.97,happy
20.6,grooming,tucked,backward,0.73,sleepy
4.3,playing,swishing,rotating,0.59,playful
9.1,hunting,up,forward,0.69,playful
7.4,playing,up,rotating,0.62,sleepy
16.0,grooming,swishing,backward,0.65,playful
6.3,grooming,down,backward,0.5,sleepy
8.1,hunting,tucked,forward,0.69,sleepy
4.4,eating,swishing,forward,0.19,anxious
15.3,eating,tucked,rotating,0.54,sleepy
9.8,sleeping,down,flat,0.28,grumpy
1.0,eating,up,rotating,0.95,happy
10.5,grooming,up,rotating,0.38,anxious
3.9,grooming,swishing,backward,0.17,anxious
19.9,hiding,puffed,flat,0.3,anxious
14.0,hiding,down,flat,0.36,anxious
16.0,eating,up,flat,0.9,happy
15.6,eating,puffed,backward,0.3,anxious
8.7,hiding,puffed,rotating,0.23,anxious
21.6,playing,swishing,forward,0.36,playful
18.8,eating,up,forward,0.77,happy
23.9,sleeping,down,backward,0.46,sleepy
6.1,sleeping,down,backward,0.67,sleepy
16.7,hiding,tucked,rotating,0.17,anxious
18.7,grooming,down,backward,0.5,sleepy
13.5,sleeping,tucked,backward,0.38,anxious
9.9,playing,up,forward,0.47,playful
16.4,playing,down,flat,0.01,grumpy
17.5,hiding,down,backward,0.17,grumpy
6.4,eating,swishing,forward,0.63,playful
11.2,hunting,tucked,forward,0.89,happy
9.2,hiding,swishing,backward,0.11,grumpy
15.5,sleeping,down,backward,0.77,sleepy
14.4,eating,up,forward,0.97,happy
10.2,sleeping,down,backward,0.66,sleepy
22.7,hunting,tucked,rotating,0.06,grumpy
17.7,sleeping,down,rotating,0.35,anxious
12.9,hiding,down,rotating,0.11,grumpy
4.2,eating,up,flat,0.32,anxious
4.6,grooming,down,backward,0.66,sleepy
17.8,grooming,swishing,flat,0.64,happy
12.4,playing,puffed,forward,0.66,happy
5.0,eating,swishing,flat,0.38,anxious
10.8,eating,up,forward,0.68,happy
0.0,grooming,up,forward,0.61,happy
21.9,grooming,down,backward,0.75,sleepy
7.5,hiding,swishing,backward,0.32,anxious
6.0,grooming,puffed,backward,0.74,sleepy
4.1,hiding,down,forward,0.5,sleepy
8.7,grooming,tucked,flat,0.36,anxious
14.2,eating,up,forward,0.91,happy
2.6,playing,up,forward,0.43,playful
13.7,hiding,tucked,forward,0.04,grumpy
6.8,eating,down,backward,0.3,anxious
19.5,hiding,up,forward,0.78,sleepy
20.2,hiding,puffed,rotating,0.2,anxious
0.0,hunting,down,flat,0.11,grumpy
14.4,grooming,up,forward,0.84,happy
16.1,grooming,up,rotating,0.85,happy
4.2,eating,puffed,forward,0.74,happy
16.1,grooming,down,backward,0.1,grumpy
4.2,hiding,swishing,backward,0.03,grumpy
4.7,hiding,swishing,flat,0.46,sleepy
20.7,hiding,puffed,forward,0.5,playful
20.4,playing,up,rotating,0.67,sleepy
17.2,hunting,puffed,flat,0.2,anxious
11.7,hunting,tucked,rotating,0.19,anxious
0.2,grooming,tucked,backward,0.63,sleepy
13.8,hiding,puffed,rotating,0.22,anxious
21.5,grooming,tucked,backward,0.43,sleepy
14.4,hunting,up,rotating,0.32,playful
6.9,playing,swishing,forward,0.58,playful
20.1,grooming,tucked,backward,0.58,sleepy
15.4,grooming,swishing,flat,0.09,grumpy
18.4,hunting,up,rotating,0.59,playful
10.1,grooming,down,forward,0.15,anxious
17.1,hiding,up,backward,0.41,playful
18.8,playing,tucked,forward,0.34,anxious
2.0,hiding,down,flat,0.17,grumpy
14.2,hiding,swishing,flat,0.13,grumpy
21.9,sleeping,down,backward,0.48,sleepy
0.4,hunting,swishing,flat,0.23,anxious
6.2,grooming,up,forward,0.21,grumpy
20.9,hunting,swishing,rotating,0.55,playful
4.0,hiding,tucked,rotating,0.37,anxious
9.0,grooming,down,backward,0.75,sleepy
1.7,hunting,tucked,rotating,0.0,grumpy
2.5,hiding,swishing,forward,0.52,playful
7.0,grooming,tucked,backward,0.7,sleepy
1.3,eating,up,forward,0.94,happy
12.9,hunting,puffed,forward,0.23,grumpy
1.4,eating,up,forward,0.94,happy
16.5,hunting,puffed,rotating,0.39,anxious
2.4,sleeping,tucked,rotating,0.4,anxious
21.3,sleeping,down,backward,0.43,sleepy
7.7,grooming,up,forward,0.86,happy
21.3,sleeping,down,backward,0.51,sleepy
22.9,grooming,up,forward,0.66,happy
17.3,grooming,down,backward,0.55,sleepy
16.3,grooming,tucked,backward,0.76,sleepy
23.2,sleeping,puffed,rotating,0.69,playful
2.1,hiding,swishing,flat,0.23,grumpy
1.3,grooming,swishing,backward,0.07,grumpy
11.3,hiding,tucked,rotating,0.38,anxious
17.9,hiding,puffed,rotating,0.21,anxious
5.4,grooming,tucked,backward,0.61,sleepy
2.1,hunting,swishing,flat,0.22,grumpy
5.8,hunting,swishing,forward,0.65,playful
11.1,hunting,swishing,rotating,0.62,playful
2.7,sleeping,tucked,backward,0.45,sleepy
15.8,grooming,tucked,backward,0.76,sleepy
13.5,hunting,up,rotating,0.6,playful
1.5,hiding,puffed,rotating,0.35,anxious
17.2,hunting,puffed,rotating,0.3,anxious
4.8,grooming,up,forward,0.72,happy
17.3,hiding,tucked,rotating,0.35,anxious
6.0,eating,down,backward,0.31,anxious
7.2,grooming,up,forward,0.87,happy
21.0,eating,swishing,flat,0.13,anxious
8.0,hunting,up,forward,0.45,playful
22.6,grooming,tucked,forward,0.96,happy
20.7,hunting,up,rotating,0.7,playful
14.0,hiding,down,backward,0.35,anxious
14.4,eating,up,forward,0.7,happy
8.0,playing,swishing,flat,0.57,playful
15.3,hiding,puffed,flat,0.16,anxious
11.5,grooming,up,backward,0.67,happy
6.7,eating,up,forward,0.88,happy
11.8,playing,down,backward,0.98,happy
2.0,eating,down,backward,0.35,anxious
20.3,grooming,up,forward,0.81,happy
12.7,hunting,swishing,backward,0.64,playful
19.1,playing,puffed,flat,0.66,happy
15.0,eating,up,forward,0.85,happy
12.7,hunting,up,flat,0.44,sleepy
18.7,grooming,down,flat,0.72,sleepy
17.9,playing,up,rotating,0.3,playful
19.6,playing,tucked,backward,0.63,playful
5.9,eating,up,forward,1.0,happy
5.8,grooming,down,forward,0.82,happy
14.3,grooming,down,flat,0.21,grumpy
1.4,eating,puffed,rotating,0.51,sleepy
8.3,grooming,up,forward,0.86,happy
15.4,grooming,swishing,flat,0.13,grumpy
7.4,eating,up,forward,0.87,happy
16.7,sleeping,up,rotating,0.72,happy
19.2,sleeping,swishing,forward,0.55,playful
23.3,hiding,swishing,flat,0.3,grumpy
16.0,hunting,swishing,backward,0.36,playful
16.0,hiding,down,backward,0.1,grumpy
22.8,grooming,down,backward,0.55,sleepy
21.8,eating,tucked,flat,0.79,sleepy
20.7,grooming,tucked,backward,0.73,sleepy
3.8,hunting,up,forward,0.53,playful
18.8,sleeping,tucked,flat,0.94,happy
15.0,hiding,puffed,rotating,0.1,anxious
17.9,hunting,up,rotating,0.35,anxious
3.2,eating,up,forward,0.96,happy
3.6,sleeping,tucked,backward,0.75,sleepy
10.9,hiding,tucked,flat,0.21,anxious
21.9,sleeping,puffed,rotating,0.26,grumpy
0.1,playing,puffed,backward,0.78,happy
9.4,hunting,puffed,rotating,0.22,anxious
13.1,sleeping,tucked,flat,0.47,playful
3.2,hiding,down,forward,0.62,happy
9.7,hunting,tucked,rotating,0.29,anxious
